PERMNO,date,TICKER,COMNAM,CUSIP,PRC
53613,20170929,MU,MICRON TECHNOLOGY INC,59511210,39.33
53613,20171031,MU,MICRON TECHNOLOGY INC,59511210,44.31
53613,20171130,MU,MICRON TECHNOLOGY INC,59511210,42.39
53613,20171229,MU,MICRON TECHNOLOGY INC,59511210,41.12
53613,20180131,MU,MICRON TECHNOLOGY INC,59511210,43.72
53613,20180228,MU,MICRON TECHNOLOGY INC,59511210,48.81
53613,20180329,MU,MICRON TECHNOLOGY INC,59511210,52.14
53613,20180430,MU,MICRON TECHNOLOGY INC,59511210,45.98
53613,20180531,MU,MICRON TECHNOLOGY INC,59511210,57.59
53613,20180629,MU,MICRON TECHNOLOGY INC,59511210,52.44
53613,20180731,MU,MICRON TECHNOLOGY INC,59511210,52.79
53613,20180831,MU,MICRON TECHNOLOGY INC,59511210,52.52
53613,20180928,MU,MICRON TECHNOLOGY INC,59511210,45.23
53613,20181031,MU,MICRON TECHNOLOGY INC,59511210,37.72
53613,20181130,MU,MICRON TECHNOLOGY INC,59511210,38.56
53613,20181231,MU,MICRON TECHNOLOGY INC,59511210,31.73
53613,20190131,MU,MICRON TECHNOLOGY INC,59511210,38.22
53613,20190228,MU,MICRON TECHNOLOGY INC,59511210,40.88
53613,20190329,MU,MICRON TECHNOLOGY INC,59511210,41.33
53613,20190430,MU,MICRON TECHNOLOGY INC,59511210,42.06
53613,20190531,MU,MICRON TECHNOLOGY INC,59511210,32.61
53613,20190628,MU,MICRON TECHNOLOGY INC,59511210,38.59
53613,20190731,MU,MICRON TECHNOLOGY INC,59511210,44.89
53613,20190830,MU,MICRON TECHNOLOGY INC,59511210,45.27
53613,20190930,MU,MICRON TECHNOLOGY INC,59511210,42.85
53613,20191031,MU,MICRON TECHNOLOGY INC,59511210,47.55
53613,20191129,MU,MICRON TECHNOLOGY INC,59511210,47.51
53613,20191231,MU,MICRON TECHNOLOGY INC,59511210,53.78
54827,20070131,MOLX,MOLEX INC,60855410,29.39
54827,20070228,MOLX,MOLEX INC,60855410,29.33
54827,20070330,MOLX,MOLEX INC,60855410,28.2
54827,20070430,MOLX,MOLEX INC,60855410,29.88
54827,20070531,MOLX,MOLEX INC,60855410,29.74
54827,20070629,MOLX,MOLEX INC,60855410,30.01
54827,20070731,MOLX,MOLEX INC,60855410,28.34
54827,20070831,MOLX,MOLEX INC,60855410,26.15
54827,20070928,MOLX,MOLEX INC,60855410,26.93
54827,20071031,MOLX,MOLEX INC,60855410,28.56
54827,20071130,MOLX,MOLEX INC,60855410,27.56
54827,20071231,MOLX,MOLEX INC,60855410,27.3
54827,20080131,MOLX,MOLEX INC,60855410,24.04
54827,20080229,MOLX,MOLEX INC,60855410,22.53
54827,20080331,MOLX,MOLEX INC,60855410,23.16
54827,20080430,MOLX,MOLEX INC,60855410,28.38
54827,20080530,MOLX,MOLEX INC,60855410,27.84
54827,20080630,MOLX,MOLEX INC,60855410,24.41
54827,20080731,MOLX,MOLEX INC,60855410,24.53
54827,20080829,MOLX,MOLEX INC,60855410,24.15
54827,20080930,MOLX,MOLEX INC,60855410,22.45
54827,20081031,MOLX,MOLEX INC,60855410,14.41
54827,20081128,MOLX,MOLEX INC,60855410,13.6
54827,20081231,MOLX,MOLEX INC,60855410,14.49
54827,20090130,MOLX,MOLEX INC,60855410,13.37
54827,20090227,MOLX,MOLEX INC,60855410,11.37
54827,20090331,MOLX,MOLEX INC,60855410,13.74
54827,20090430,MOLX,MOLEX INC,60855410,16.67
54827,20090529,MOLX,MOLEX INC,60855410,15.28
54827,20090630,MOLX,MOLEX INC,60855410,15.55
54827,20090731,MOLX,MOLEX INC,60855410,17.76
54827,20090831,MOLX,MOLEX INC,60855410,18.22
54827,20090930,MOLX,MOLEX INC,60855410,20.88
54827,20091030,MOLX,MOLEX INC,60855410,18.67
54827,20091130,MOLX,MOLEX INC,60855410,18.59
54827,20091231,MOLX,MOLEX INC,60855410,21.55
54827,20100129,MOLX,MOLEX INC,60855410,20.16
54827,20100226,MOLX,MOLEX INC,60855410,20.45
54827,20100331,MOLX,MOLEX INC,60855410,20.86
54827,20100430,MOLX,MOLEX INC,60855410,22.41
54827,20100528,MOLX,MOLEX INC,60855410,21.18
54827,20100630,MOLX,MOLEX INC,60855410,18.24
54827,20100730,MOLX,MOLEX INC,60855410,19.71
54827,20100831,MOLX,MOLEX INC,60855410,17.65
54827,20100930,MOLX,MOLEX INC,60855410,20.93
54827,20101029,MOLX,MOLEX INC,60855410,20.3
54827,20101130,MOLX,MOLEX INC,60855410,20.8
54827,20101231,MOLX,MOLEX INC,60855410,22.72
54827,20110131,MOLX,MOLEX INC,60855410,26.15
54827,20110228,MOLX,MOLEX INC,60855410,27.93
54827,20110331,MOLX,MOLEX INC,60855410,25.12
54827,20110429,MOLX,MOLEX INC,60855410,27
54827,20110531,MOLX,MOLEX INC,60855410,27.37
54827,20110630,MOLX,MOLEX INC,60855410,25.77
54827,20110729,MOLX,MOLEX INC,60855410,23.48
54827,20110831,MOLX,MOLEX INC,60855410,21.85
54827,20110930,MOLX,MOLEX INC,60855410,20.37
54827,20111031,MOLX,MOLEX INC,60855410,24.69
54827,20111130,MOLX,MOLEX INC,60855410,24.94
54827,20111230,MOLX,MOLEX INC,60855410,23.86
54827,20120131,MOLX,MOLEX INC,60855410,26.44
54827,20120229,MOLX,MOLEX INC,60855410,27.1
54827,20120330,MOLX,MOLEX INC,60855410,28.12
54827,20120430,MOLX,MOLEX INC,60855410,27.59
54827,20120531,MOLX,MOLEX INC,60855410,23.07
54827,20120629,MOLX,MOLEX INC,60855410,23.94
54827,20120731,MOLX,MOLEX INC,60855410,25.12
54827,20120831,MOLX,MOLEX INC,60855410,26.55
54827,20120928,MOLX,MOLEX INC,60855410,26.28
54827,20121031,MOLX,MOLEX INC,60855410,25.96
